DESCRIPTION,LOCATION,PRICE
4 Bedroom Terrace,"2Nd Tollgate, Lekki Expressway, Lekki","N4,500,000 per year"
5 Bedroom Duplex,"Vi, Victoria Island","N40,000,000 per year"
4 Bedroom Duplex,"Chevron, Chevron Drive, Lekki","N5,000,000 per year"
3 Bedroom Terrace,"Royal Gardens Estate, Ajah","N3,000,000 per year"
4 Bedroom Duplex,"Oral Estate, Lekki Expressway, Lekki","N6,000,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N10,000,000 per year"
5 Bedroom Duplex,"Magodo Gra, Magodo Shangisha, Ketu","N8,000,000 per year"
4 Bedroom Terrace,"Lekki Right, Lekki Phase 1, Lekki","N8,000,000 per year"
5 Bedroom Duplex,"Chevy View Estate, Lekki Expressway, Lekki","N5,500,000 per year"
3 Bedroom Flat & Apartment,"Oniru, Victoria Island","N3,000,000 per year"
4 Bedroom Duplex,"Orchid, Ikota, Lekki","N6,000,000 per year"
3 Bedroom Flat & Apartment,"Lekki Phase 1, Lekki","N5,000,000 per year"
5 Bedroom Flat & Apartment,Ikoyi,"N15,000,000 per year"
4 Bedroom Duplex,"Ikota, Lekki","N4,000,000 per year"
4 Bedroom Duplex,"Victory Park Estate, Osapa, Lekki","N5,500,000 per year"
3 Bedroom Terrace,"Lekki Phase 1, Lekki","N5,000,000 per year"
4 Bedroom Duplex,"Lekki Phase 1, Lekki","N15,000,000 per year"
4 Bedroom Terrace,"Oniru, Victoria Island","N7,500,000 per year"
3 Bedroom Flat & Apartment,"Banana Island, Ikoyi","N15,000,000 per year"
4 Bedroom Duplex,"Idado, Lekki","N6,000,000 per year"
4 Bedroom Duplex,"Orchid, Ikota, Lekki","N4,500,000 per year"
4 Bedroom Terrace,"Off Admiralty Road, Lekki Phase 1, Lekki","N8,000,000 per year"
Flat & Apartment,"Ikota, Lekki","N1,500,000 per year"
4 Bedroom Terrace,"Ilasan,World-Oil, Ikate Elegushi, Lekki","N5,000,000 per year"
2 Bedroom Flat & Apartment,"Adeniyi Jones, Ikeja , Ikeja","N3,500,000 per year"
4 Bedroom Terrace,"Chevron, Chevron Drive, Lekki","N4,000,000 per year"
4 Bedroom Terrace,"Chevron Tollgate, Chevron Drive, Lekki","N4,000,000 per year"
4 Bedroom Terrace,"Parkview, Parkview Estate, Ikoyi","N7,000,000 per year"
4 Bedroom Terrace,Ikoyi,"N20,000,000 per year"
