DESCRIPTION,LOCATION,PRICE
2 Bedroom Flat & Apartment,"U3 Estate, Lekki Phase 1, Lekki","N4,000,000 per year"
2 Bedroom Flat & Apartment,"Ogba, Ikeja","N2,000,000 per year"
3 Bedroom Flat & Apartment,"Lekki Phase 1, Lekki","N5,000,000 per year"
4 Bedroom Terrace,"Off White Sand School Road, Lekki Phase 1, Lekki","N5,500,000 per year"
3 Bedroom Flat & Apartment,"Off Fola Osibo, Lekki Phase 1, Lekki","N4,000,000 per year"
3 Bedroom Flat & Apartment,"Off Admiralty Way, Lekki Phase 1, Lekki","N4,000,000 per year"
3 Bedroom Flat & Apartment,"Western Foreshore Estate, Osapa, Lekki","N3,800,000 per year"
3 Bedroom Flat & Apartment,"Kofo Abayomi, Victoria Island","N14,500,000 per year"
3 Bedroom Flat & Apartment,"Ajose , Victoria Island","N15,000,000 per year"
3 Bedroom Flat & Apartment,"Opebi, Ikeja","N2,000,000 per year"
3 Bedroom Flat & Apartment,"Onikoyi, Banana Island, Ikoyi","N15,000,000 per year"
3 Bedroom Flat & Apartment,"An Estate At Opebi Ikja, Opebi, Ikeja","N2,500,000 per year"
3 Bedroom Flat & Apartment,"Eko Atlantic City, Victoria Island","N17,000,000 per year"
4 Bedroom Duplex,"Oniru, Victoria Island","N5,000,000 per year"
3 Bedroom Flat & Apartment,"Opebi, Ikeja","N2,000,000 per year"
3 Bedroom Flat & Apartment,"Isaac John Street Gra Ikeja,  Ikeja G.R.A, Ikeja","N8,000,000 per year"
Commercial Property,"By Abijo G. R. A, Abijo, Ajah","N2,000,000 per year"
4 Bedroom Terrace,"Orchid Hotel Road , Lafiaji, Lekki","N3,000,000 per year"
3 Bedroom Flat & Apartment,"Shonibare, Maryland, Ikeja","N6,000,000 per year"
3 Bedroom Flat & Apartment,"Off Akinyemi Avenue, Lekki Phase 1, Lekki","N2,800,000 per year"
4 Bedroom Duplex,"Off Allen Avenue, Allen Avenue, Ikeja","N3,500,000 per year"
4 Bedroom Flat & Apartment,"Off Eko Street, Parkview Estate, Ikoyi","N8,000,000 per year"
3 Bedroom Bungalow,"Canal Estate, Okota, Isolo","N1,800,000 per year"
3 Bedroom Flat & Apartment,"3Rd Avenue, Banana Island, Ikoyi","N14,000,000 per year"
4 Bedroom Duplex,"Muritala Eletu Way, Osapa, Lekki","N4,500,000 per year"
5 Bedroom Duplex,"Omole Phase 2, Ikeja Lagos , Omole, Ikeja","N3,000,000 per year"
3 Bedroom Flat & Apartment,"Oniru, Victoria Island","N6,500,000 per year"
Office,Victoria Island,"N18,000,000 per year"
2 Bedroom Flat & Apartment,"Simon Akinolu, Oniru, Victoria Island","N5,000,000 per year"
4 Bedroom Flat & Apartment,"Lekki, Phase 1, Lekki Phase 1, Lekki","N5,000,000 per year"
Warehouse,"Lateef Jakande Road, Agidingbi, Agidinbgi, Ikeja","N14,000,000 per year"
Shop,"Lekki Phase 1, Lekki","N2,500,000 per year"
2 Bedroom Flat & Apartment,"Ikate, Ikate Elegushi, Lekki","N3,000,000 per year"
3 Bedroom Flat & Apartment,"Raymond Njoku , Falomo , Ikoyi","N8,000,000 per year"
3 Bedroom Flat & Apartment,"Off Chief Collins, Lekki Phase 1, Lekki","N3,000,000 per year"
5 Bedroom Duplex,"Palace Road Oniru, Oniru, Victoria Island","N10,000,000 per year"
Office,"Berger Bus Stop, Ajah","N7,000,000 per year"
Office,"On Awolowo Road, Awolowo Road, Ikoyi","N5,500,000 per year"
3 Bedroom Flat & Apartment,"Off Abiodun Yusuuf Street, Oniru, Victoria Island","N3,500,000 per year"
Office,"Ozumba Mbadiwe Road, Victoria Island","N368,000,000 per year"
3 Bedroom Terrace,"Off Admiralty Road, Lekki Phase 1, Lekki","N6,000,000 per year"
3 Bedroom Flat & Apartment,"Kuboye Street, Lekki Phase 1, Lekki","N3,000,000 per year"
4 Bedroom Terrace,"Off Second Avenue, Banana Island, Ikoyi","N10,000,000 per year"
3 Bedroom Flat & Apartment,"Off Prince Tayo Adesanya Street, Parkview Estate, Ikoyi","N6,500,000 per year"
2 Bedroom Flat & Apartment,"Off Third Avenue, Banana Island, Ikoyi","N8,000,000 per year"
Office,"Adeniyi Jones, Opebi, Ikeja","N1,000,000 per year"
3 Bedroom Flat & Apartment,"Off Palace Road, Oniru, Victoria Island","N5,000,000 per year"
3 Bedroom Flat & Apartment,"Oniru, Victoria Island","N6,000,000 per year"
3 Bedroom Flat & Apartment,"Oniru, Victoria Island","N5,500,000 per year"
5 Bedroom Duplex,"Osborne Estate, Falomo , Ikoyi","N11,000,000 per year"
4 Bedroom Terrace,"Ikate, Ikate Elegushi, Lekki","N6,000,000 per year"
3 Bedroom Duplex,"Banana Island, Ikoyi","N15,000,000 per year"
4 Bedroom House,"Chevron , Lekki Phase 2, Lekki","N3,000,000 per year"
Flat & Apartment,"Oregun, Ikeja","N600,000 per year"
3 Bedroom Flat & Apartment,"Banana Island, Ikoyi","N15,000,000 per year"
Office,"Landbridge Avenue, Oniru, Victoria Island","N42,000,000 per yearN28,000  /m2"
3 Bedroom Flat & Apartment,"Off Remi Olowude , Lekki Phase 1, Lekki","N2,800,000 per year"
4 Bedroom House,"Abiodun Yusuf Road  , Oniru, Victoria Island","N6,500,000 per year"
3 Bedroom Flat & Apartment,"Off African Lane, Lekki Phase 1, Lekki","N3,500,000 per year"
4 Bedroom Duplex,"Oniru Victoria Island Lagos , Oniru, Victoria Island","N7,500,000 per year"
3 Bedroom Flat & Apartment,"Millenium Estate, Oke - Alo, Gbagada","N3,500,000 per year"
2 Bedroom Flat & Apartment,"Lekki Phase 1, Lekki","N2,500,000 per year"
4 Bedroom Flat & Apartment,"Victoria Island , Oniru, Victoria Island","N10,000,000 per year"
4 Bedroom Terrace,"Adebayo Doherty, Lekki Phase 1, Lekki","N5,000,000 per year"
3 Bedroom Terrace,"Off Second Avenue, Banana Island, Ikoyi","N12,000,000 per year"
4 Bedroom Duplex,"Off Idejo Street, Off Adeola Odeku Way,, Victoria Island","N12,000,000 per year"
4 Bedroom Duplex,"Lekki Phase One , Lekki Phase 1, Lekki","N4,500,000 per year"
4 Bedroom Terrace,"Banana Island, Ikoyi","N16,000,000 per year"
3 Bedroom Duplex,"Oniru Victoria Island Lagos , Oniru, Victoria Island","N4,000,000 per year"
2 Bedroom Flat & Apartment,"Oladimeji Alo, Lekki Phase 1, Lekki","N2,800,000 per year"
3 Bedroom Flat & Apartment,"Rev. Z. A. Otusanya Estate, Oko-Oba Residential Scheme, Abule Egba, Agege","N700,000 per year"
Office,"Close To Falomo, Awolowo Road, Ikoyi","N4,500,000 per year"
4 Bedroom Duplex,"Off Simeone Akinolu Crescent, Oniru, Victoria Island","N6,000,000 per year"
3 Bedroom Flat & Apartment,"Banana Island, Ikoyi","N8,000,000 per year"
3 Bedroom Flat & Apartment,"Parkview Estate, Ikoyi","N7,500,000 per year"
4 Bedroom Terrace,"Off Landbridge Avenue, Oniru, Victoria Island","N6,000,000 per year"
5 Bedroom Duplex,"Off Admiralty Way, Lekki, Lekki Phase 1, Lekki","N8,000,000 per year"
4 Bedroom Terrace,"Wole Ariyo, Lekki Phase 1, Lekki","N5,000,000 per year"
Office,"Turnbull, Banana Island, Ikoyi","N18,000 per yearN55  /m2"
4 Bedroom Duplex,"Lekki Phase 1, Lekki","N5,000,000 per year"
4 Bedroom Flat & Apartment,Ikoyi,"N12,000,000 per year"
5 Bedroom Duplex,"Bashiru Balogun Street, Lekki Phase 1, Lekki","N7,000,000 per year"
3 Bedroom Flat & Apartment,"Oloruntedo Street By Xtadok Estate, Ira Nla, Ado Roundabout  , Badore, Ajah","N750,000 per year"
3 Bedroom Flat & Apartment,"Phase 2, Omole, Ikeja","N1,200,000 per year"
Office,"Glover Road, Ikoyi","N9,000,000 per year"
Office,"Eko Hotel Junction, Victoria Island","N6,000,000 per yearN80,000  /m2"
3 Bedroom Flat & Apartment,"Safe Court, Ikate Elegushi, Lekki","N3,000,000 per year"
Office,"Lekki Phase1, Lekki Phase 1, Lekki","N10,000,000 per year"
3 Bedroom Flat & Apartment,"Cardogan , Osapa, Lekki","N4,000,000 per year"
Flat & Apartment,"Before Agungi, Agungi, Lekki","N1,300,000 per year"
5 Bedroom Duplex,"Lekki Phase 1, Lekki","N20,000,000 per year"
4 Bedroom Terrace,"Lekki Phase 1, Lekki","N5,000,000 per year"
3 Bedroom Duplex,"Magodo G.R.A, Magodo Shangisha, Ketu","N4,200,000 per year"
4 Bedroom Terrace,"2Nd Tollgate, Lekki Expressway, Lekki","N4,000,000 per year"
3 Bedroom Flat & Apartment,"Unity Estate Off Rogo Road Iju Ishaga , Iju , Abeouka Express","N38,000,000 per year"
3 Bedroom Duplex,"Old Ikoyi, Ikoyi","N7,000,000 per year"
3 Bedroom Flat & Apartment,"Banana Island, Ikoyi","N15,000,000 per year"
2 Bedroom Flat & Apartment,"21 Gerrard Road, Ikoyi","N11,000,000 per year"
Office,"Lekki, Lekki Phase 1, Lekki","N3,000,000 per year"
Warehouse,"Oregun Road, Oregun, Ikeja","N30,000,000 per year"
3 Bedroom Duplex,Ikoyi,"N13,000,000 per year"
3 Bedroom Flat & Apartment,"Off Bourdillon, Ikoyi","N12,500,000 per year"
Flat & Apartment,"Lekki Phase 1, Lekki","N1,600,000 per year"
4 Bedroom Terrace,"Admiralty Road, Lekki Phase 1, Lekki","N9,000,000 per year"
4 Bedroom Terrace,"Banana Island, Ikoyi","N20,000,000 per year"
Office,"Awolowo Road, Ikoyi Lagos , Awolowo Road, Ikoyi","N10,000,000 per year"
3 Bedroom Duplex,"Ikota, Lekki","N3,000,000 per year"
2 Bedroom Flat & Apartment,"Alafia Estate, Oke-Ira Ogba Ikeja Lagos , Ogba, Ikeja","N1,300,000 per year"
3 Bedroom Flat & Apartment,"Kofo Abayomi, Victoria Island","N15,000,000 per year"
Office,"Ikoyi, Awolowo Road, Ikoyi","N26,000,000 per year"
Office,"Awolowo Road, Ikoyi","N25,000,000 per year"
4 Bedroom House,"Lekki Gardens, Ajah","N3,000,000 per year"
Shop,"Ikate, Ikate Elegushi, Lekki","N3,000,000 per year"
Office,"Ekololu / Itire, Surulere","N600,000 per year"
Office,"Old Ikoyi, Ikoyi","N4,290,000 per year"
Office,Victoria Island,"N4,500,000 per year"
3 Bedroom Flat & Apartment,"Davone Court, Banana Island, Ikoyi","N20,000,000 per year"
3 Bedroom Duplex,"Lekki Phase 1, Lekki","N5,000,000 per year"
3 Bedroom Flat & Apartment,"Ocean Parade, Banana Island, Banana Island, Ikoyi","N25,000,000 per year"
Office,"Ikota, Lekki","N6,000,000 per year"
Office,Victoria Island,"N6,000,000 per yearN60,000  /m2"
Office,"Old Ikoyi, Ikoyi","N78,100,000 per yearN110,000  /m2"
Office,"Off Adeola Odeku, Victoria Island","N35,000,000 per year"
Office,"Lekki Phase 1, Lekki","N5,500,000 per year"
Office,"Allen, Allen Avenue, Ikeja","N80,000 per year"
Office,"Lekki Phase 1, Lekki","N8,970,000 per year"
4 Bedroom Duplex,"Banana Island, Ikoyi","N12,000,000 per year"
Office,"Adeniyi Jones Avenue, Ikeja , Ikeja","N8,000,000 per year"
Office,"Awolowo Road, Ikoyi","N4,520,000 per yearN40,000  /m2"
3 Bedroom Flat & Apartment,"Banana Island, Ikoyi","N13,000,000 per year"
Office,"Awolowo Way, Awolowo Road, Ikoyi","N5,500,000 per year"
Office,"Lekki Phase 1, Lekki","N2,000,000 per year"
Office,"Lekki Phase 1, Lekki","N10,500,000 per yearN60,000  /m2"
3 Bedroom Flat & Apartment,"Eleganza Garden, Opposite Vgc, Victoria Garden City, Lekki","N2,000,000 per year"
2 Bedroom Flat & Apartment,Ikoyi,"N8,000,000 per year"
Office,"Sylvia Cresent , Anthony, Ikorodu Road","N25,200,000 per year"
Office,"Off Awolowo Way,Ikoyi. , Awolowo Road, Ikoyi","N3,000,000 per year"
Warehouse,"Alausa, Ikeja","N12,000,000 per year"
2 Bedroom Flat & Apartment,"Ogba, Ikeja","N1,650,000 per year"
16 Bedroom Office,"Off Admiralty Way, Lekki Phase 1, Lekki","N25,000,000 per year"
Shop,"Lekki Phase 1, Lekki","N55,000 per year"
4 Bedroom Townhouse,"Off Alexander , Ikoyi","N12,000,000 per year"
Shop,"Lekki Phase 1, Lekki","N2,000,000 per year"
Shop,"Awolowo House, Awolowo Road, Ikoyi","N30,000 per yearN30,000  /m2"
Office,"Allen Avenue, Ikeja","N24,120,000 per yearN18,500  /m2"
Warehouse,"Jaiyeola Ajatta, Ajao Estate, Oshodi","N1,500,000 per year"
Commercial Property,"Ogudu Road, Ojota, Ketu","N50,000,000 per year"
5 Bedroom Office,"Old Ikoyi, Ikoyi","N40,000,000 per year"
3 Bedroom Flat & Apartment,"Old Ikoyi, Ikoyi","N9,000,000 per year"
Office,"Off Folarin Street, Jibowu, Ikorodu Road","N2,500,000 per year"
Commercial Property,"Corona Road, Sangotedo, Ajah","N13,000,000 per year"
4 Bedroom Flat & Apartment,"Queens Drive, Ikoyi","N15,000,000 per year"
Commercial Property,"Bamako Estate Omole  Phase 1 Ogba Ikeja Lagos ., Ogba, Ikeja","N15,000,000 per year"
Office,"Adeola Odeku, Victoria Island","N95,000 per yearN95,000  /m2"
5 Bedroom Duplex,"Marwa, Lekki Phase 1, Lekki","N10,000,000 per year"
5 Bedroom House,"Lekki, Lekki Phase 1, Lekki","N11,000,000 per year"
4 Bedroom Terrace,"Lekki, Lekki Phase 1, Lekki","N8,000,000 per year"
3 Bedroom Terrace,"Lekki Phase 1, Lekki","N5,000,000 per year"
4 Bedroom Terrace,"Ikota, Lekki","N4,000,000 per year"
5 Bedroom House,"Chevy View Estate, Chevron Drive, Lekki","N5,000,000 per year"
4 Bedroom Duplex,"Victory Park Estate, Osapa, Lekki","N5,500,000 per year"
4 Bedroom House,"Old Ikoyi, Ikoyi","N15,000,000 per year"
4 Bedroom Terrace,"Osapa, Lekki","N4,500,000 per year"
4 Bedroom Flat & Apartment,"Thomas Estate, Ajah","N3,500,000 per year"
4 Bedroom House,"Lekki Phase 1, Lekki","N9,000,000 per year"
4 Bedroom Duplex,"Lekki County Homes, Ikota, Lekki","N4,500,000 per year"
3 Bedroom Flat & Apartment,Ajah,"N3,100,000 per year"
4 Bedroom House,"Lekki Phase 1, Lekki","N12,000,000 per year"
4 Bedroom House,"Lekki, Lekki Phase 1, Lekki","N6,000,000 per year"
4 Bedroom Terrace,"Orchid , Ikota, Lekki","N4,000,000 per year"
5 Bedroom House,"Chalton Gate , Chevron Drive, Lekki","N6,500,000 per year"
4 Bedroom Duplex,"Ikota, Lekki","N4,500,000 per year"
4 Bedroom Terrace,"Banana Island, Ikoyi","N10,000,000 per year"
3 Bedroom Flat & Apartment,"Osborne Ikoyi, Ikoyi","N6,000,000 per year"
4 Bedroom House,"Second Tollgate, Lekki Expressway, Lekki","N5,000,000 per year"
2 Bedroom Flat & Apartment,"Banana Island, Ikoyi","N8,000,000 per year"
3 Bedroom Terrace,"Lekki, Lekki Phase 1, Lekki","N6,500,000 per year"
2 Bedroom Flat & Apartment,"Banana Island, Ikoyi","N11,000,000 per year"
5 Bedroom Duplex,"Lekki Phase 1, Lekki","N17,000,000 per year"
4 Bedroom Terrace,"Lekki, Lekki Phase 1, Lekki","N6,000,000 per year"
4 Bedroom Terrace,"Orchid, Ikota, Lekki","N4,000,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N4,500,000 per year"
3 Bedroom Flat & Apartment,"Old Ikoyi, Ikoyi","N9,000,000 per year"
4 Bedroom Terrace,"Old Ikoyi, Ikoyi","N13,000,000 per year"
2 Bedroom Flat & Apartment,"Banana Islan D, Banana Island, Ikoyi","N10,000,000 per year"
3 Bedroom Terrace,"Lekki Phase 1,, Lekki Phase 1, Lekki","N6,500,000 per year"
5 Bedroom Duplex,"Chevyview Estate  Lekki, Chevron Drive, Lekki","N5,500,000 per year"
3 Bedroom Flat & Apartment,"Chevron, Chevron Drive, Lekki","N2,000,000 per year"
4 Bedroom Terrace,"Westend Estate, Ikota, Lekki","N3,500,000 per year"
5 Bedroom Duplex,"Chevyview Estate , Chevron Drive, Lekki","N5,000,000 per year"
3 Bedroom Terrace,"Lekki Phase 1, Lekki","N6,500,000 per year"
3 Bedroom Terrace,"Lekki Phase1, Lekki Phase 1, Lekki","N8,000,000 per year"
3 Bedroom Terrace,"Old Ikoyi, Ikoyi","N10,000,000 per year"
2 Bedroom Flat & Apartment,"Ikate, Ikate Elegushi, Lekki","N5,500,000 per year"
4 Bedroom House,"Lekki Right, Lekki Phase 1, Lekki","N8,000,000 per year"
4 Bedroom Duplex,"Ikota Lekki, Ikota, Lekki","N65,000,000 per year"
3 Bedroom House,"Off Bourdilion Road, Ikoyi","N40,000,000 per year"
3 Bedroom Flat & Apartment,"Old Ikoyi, Ikoyi","N8,000,000 per year"
3 Bedroom Flat & Apartment,"Parkview Estate, Ikoyi","N5,000,000 per year"
3 Bedroom Flat & Apartment,"Old Ikoyi, Ikoyi","N6,000,000 per year"
4 Bedroom Terrace,"Orchid, Ikota, Lekki","N4,500,000 per year"
3 Bedroom Flat & Apartment,"Osborne Phase 1, Ikoyi","N6,000,000 per year"
4 Bedroom Terrace,"Lekki Phase 1, Lekki","N10,000,000 per year"
3 Bedroom Flat & Apartment,"Parkview, Parkview Estate, Ikoyi","N7,500,000 per year"
4 Bedroom House,"Banana Island Lagos, Banana Island, Ikoyi","N15,000,000 per year"
4 Bedroom Terrace,"Orchid, Ikota, Lekki","N4,000,000 per year"
5 Bedroom Duplex,"Osborne Ikoyi, Ikoyi","N15,000,000 per year"
4 Bedroom Flat & Apartment,"Old Ikoyi, Ikoyi","N10,000,000 per year"
4 Bedroom Terrace,"Orchid, Ikota, Lekki","N4,000,000 per year"
3 Bedroom Flat & Apartment,"Lekki Phase 1, Lekki","N3,500,000 per year"
3 Bedroom Flat & Apartment,"Lekki Phase 1, Lekki","N4,500,000 per year"
3 Bedroom Terrace,"Ikota, Lekki","N2,500,000 per year"
4 Bedroom Duplex,"Lekki Phase 1, Lekki","N8,000,000 per year"
3 Bedroom Flat & Apartment,"Lekki Phase 1, Lekki","N4,500,000 per year"
3 Bedroom Flat & Apartment,"Banana Island, Ikoyi","N15,000,000 per year"
3 Bedroom Flat & Apartment,"Ikoyi Banana, Banana Island, Ikoyi","N15,000,000 per year"
3 Bedroom Flat & Apartment,"Old Ikoyi, Ikoyi","N10,000,000 per year"
2 Bedroom Flat & Apartment,"Banana Island Lagos, Banana Island, Ikoyi","N10,500,000 per year"
4 Bedroom House,"Lekki Phase 1, Lekki","N8,000,000 per year"
4 Bedroom House,"Lekki Phase 1, Lekki","N9,000,000 per year"
4 Bedroom House,"Lekki Phase 1, Lekki","N8,000,000 per year"
3 Bedroom Flat & Apartment,"Glover, Ikoyi","N10,000,000 per year"
4 Bedroom Terrace,"Lekki Phase 1, Lekki","N6,500,000 per year"
5 Bedroom Terrace,"Off Bourdillion Road , Ikoyi","N13,000,000 per year"
3 Bedroom Flat & Apartment,Victoria Island,"N7,000,000 per year"
4 Bedroom Terrace,"Abacha Estate, Ikoyi","N8,500,000 per year"
3 Bedroom Flat & Apartment,"Banana Island, Ikoyi","N25,000,000 per year"
2 Bedroom Flat & Apartment,"5Th Avenue, Banana Island, Ikoyi","N13,000,000 per year"
3 Bedroom House,Ikoyi,"N15,000,000 per year"
5 Bedroom House,Ikoyi,"N20,000,000 per year"
3 Bedroom Terrace,"Lekki, Lekki Phase 1, Lekki","N4,500,000 per year"
4 Bedroom Duplex,"Lekki Phase 1, Lekki","N5,000,000 per year"
4 Bedroom Duplex,"Off Ochid Road , Ikota, Lekki","N4,300,000 per year"
5 Bedroom Duplex,"Lekki Phase 1, Lekki","N8,000,000 per year"
5 Bedroom Duplex,"Megamound Estate, Ikota, Lekki","N160,000,000 per year"
2 Bedroom Flat & Apartment,"Osapa, Lekki","N2,500,000 per year"
5 Bedroom House,"Ikoyi Lagos, Ikoyi","N30,000,000 per year"
5 Bedroom Terrace,"Off Orchid Road, Ikota, Lekki","N5,000,000 per year"
3 Bedroom House,"Ikate, Ikate Elegushi, Lekki","N75,000,000 per year"
4 Bedroom Terrace,"Banana Island, Ikoyi","N15,000,000 per year"
5 Bedroom House,"Lekki Phase 1, Lekki","N12,000,000 per year"
2 Bedroom Flat & Apartment,Ajah,"N800,000 per year"
3 Bedroom Flat & Apartment,"Ikoyi, Parkview Estate, Ikoyi","N7,000,000 per year"
3 Bedroom Terrace,"Lekki Phase 1, Lekki","N4,500,000 per year"
4 Bedroom Terrace,"Banana Island Ikoyi Lagos, Banana Island, Ikoyi","N15,000,000 per year"
3 Bedroom Flat & Apartment,"Lekki Phase 1, Lekki","N4,000,000 per year"
3 Bedroom Flat & Apartment,"Oniru, Victoria Island","N6,500,000 per year"
3 Bedroom Flat & Apartment,"Oniru, Victoria Island","N5,000,000 per year"
3 Bedroom Flat & Apartment,"Ikoyi Lagos, Ikoyi","N18,000,000 per year"
5 Bedroom House,"Megamound Estate, Ikota, Lekki","N7,500,000 per year"
4 Bedroom Duplex,"Old Ikoyi, Ikoyi","N15,000,000 per year"
4 Bedroom Duplex,"Ikate , Ikate Elegushi, Lekki","N6,000,000 per year"
4 Bedroom Duplex,"Off Admiralty Way, Lekki Phase 1, Lekki","N9,000,000 per year"
5 Bedroom Terrace,"Oniru, Victoria Island","N8,000,000 per year"
4 Bedroom Terrace,"Ikate Lekki , Ikate Elegushi, Lekki","N6,000,000 per year"
3 Bedroom Flat & Apartment,"Lekki  Phase  1, Lekki Phase 1, Lekki","N3,500,000 per year"
3 Bedroom Flat & Apartment,"Mobolaji Johnson, Ikoyi","N12,000,000 per year"
4 Bedroom House,"Lekki Phase 1, Lekki","N130,000,000 per year"
3 Bedroom Flat & Apartment,"Lekki Phase 1, Lekki","N3,500,000 per year"
5 Bedroom Duplex,"Ikate , Ikate Elegushi, Lekki","N8,000,000 per year"
3 Bedroom Flat & Apartment,"Old Ikoyi, Ikoyi","N11,000,000 per year"
4 Bedroom Duplex,"Carlton Gate , Chevron Drive, Lekki","N150,000,000 per year"
Flat & Apartment,"Old Ikoyi, Ikoyi","N10,000,000 per year"
3 Bedroom Flat & Apartment,"Lekki, Lekki Phase 1, Lekki","N5,000,000 per year"
4 Bedroom Duplex,"Lekki Phase 1, Lekki","N3,500,000 per year"
4 Bedroom Flat & Apartment,Victoria Island,"N10,000,000 per year"
3 Bedroom Flat & Apartment,"Lekki, Lekki Phase 1, Lekki","N5,500,000 per year"
2 Bedroom Flat & Apartment,"Lekki Phase 1, Lekki","N3,000,000 per year"
2 Bedroom Flat & Apartment,"Lekki Phase 1, Lekki","N3,000,000 per year"
4 Bedroom House,"Canal West Estate, Osapa, Lekki","N6,000,000 per year"
4 Bedroom Flat & Apartment,"Lekki, Lekki Phase 1, Lekki","N5,000,000 per year"
3 Bedroom Flat & Apartment,"Lekki Phase 1, Lekki","N5,000,000 per year"
3 Bedroom Terrace,"Ikate Lekki, Ikate Elegushi, Lekki","N5,000,000 per year"
5 Bedroom Terrace,"Parkview Estate, Ikoyi","N9,000,000 per year"
3 Bedroom Flat & Apartment,"Parkview Estate, Ikoyi","N4,500,000 per year"
5 Bedroom Duplex,"Osapa London Lekki, Osapa, Lekki","N5,000,000 per year"
3 Bedroom Flat & Apartment,"Idado, Lekki","N3,500,000 per year"
5 Bedroom Duplex,"Osapa Lekki Lagos, Osapa, Lekki","N9,000,000 per year"
3 Bedroom Flat & Apartment,"Parkview, Parkview Estate, Ikoyi","N15,000,000 per year"
3 Bedroom Flat & Apartment,"Lekki, Lekki Phase 1, Lekki","N5,000,000 per year"
3 Bedroom Flat & Apartment,"Lekki Phase 1, Chevron Drive, Lekki","N2,500,000 per year"
4 Bedroom Terrace,"Abiola Court 2, Osapa London, Osapa, Lekki","N4,500,000 per year"
5 Bedroom Duplex,"Canal West, Osapa, Lekki","N6,000,000 per year"
5 Bedroom Terrace,"Lekki Phase 1, Lekki","N6,000,000 per year"
4 Bedroom Terrace,"Lekki Phase 1, Lekki","N7,500,000 per year"
2 Bedroom Flat & Apartment,"Lekki, Lekki Phase 1, Lekki","N2,500,000 per year"
3 Bedroom Flat & Apartment,"Lekki, Lekki Phase 1, Lekki","N4,000,000 per year"
4 Bedroom Terrace,"Ikate, Ikate Elegushi, Lekki","N6,000,000 per year"
4 Bedroom Terrace,"Lafiaji Orchid Road, Chevron Drive, Lekki","N3,300,000 per year"
3 Bedroom Flat & Apartment,"Lekki Right , Lekki Phase 1, Lekki","N3,000,000 per year"
4 Bedroom Duplex,"5Th Avenue, Banana Island, Ikoyi","N25,000,000 per year"
4 Bedroom Duplex,"Third Avenue, Banana Island, Ikoyi","N25,000,000 per year"
3 Bedroom Flat & Apartment,"Ikate-Elegushi, Ikate Elegushi, Lekki","N2,500,000 per year"
3 Bedroom Flat & Apartment,"Lekki Phase 1, Lekki","N3,500,000 per year"
4 Bedroom House,"Ikate, Ikate Elegushi, Lekki","N6,500,000 per year"
2 Bedroom Flat & Apartment,"Kofo Abayomi, Victoria Island","N12,000,000 per year"
2 Bedroom Flat & Apartment,"Paradise Estate , Chevron Drive, Lekki","N2,500,000 per year"
4 Bedroom Duplex,"Lekki, Chevron Drive, Lekki","N5,000,000 per year"
4 Bedroom Terrace,"Omole Phase 1, Omole, Ikeja","N3,500,000 per year"
4 Bedroom Flat & Apartment,"Lekki Phase 1, Lekki","N4,000,000 per year"
4 Bedroom Terrace,"Old Ikoyi, Ikoyi","N9,000,000 per year"
Flat & Apartment,Ikoyi,"N3,500,000 per year"
4 Bedroom Flat & Apartment,"Lekki Phase 1, Lekki","N4,500,000 per year"
4 Bedroom Duplex,"Orchid Road, Chevron Drive, Lekki","N3,000,000 per year"
3 Bedroom Flat & Apartment,"Oniru, Victoria Island","N4,500,000 per year"
5 Bedroom Duplex,Victoria Island,"N15,000,000 per year"
4 Bedroom Terrace,"Ologolo Lekki, Ologolo, Lekki","N4,000,000 per year"
3 Bedroom Flat & Apartment,"Old Ikoyi, Ikoyi","N9,000,000 per year"
3 Bedroom Flat & Apartment,"Banana Island, Ikoyi","N8,000,000 per year"
3 Bedroom Flat & Apartment,"Lekki Phase 1, Lekki","N3,600,000 per year"
4 Bedroom Flat & Apartment,"Queen's Drive, Ikoyi","N15,000,000 per year"
2 Bedroom Flat & Apartment,"Lekki Phase 1, Lekki","N3,500,000 per year"
3 Bedroom Flat & Apartment,"Banana Island, Ikoyi","N12,000,000 per year"
3 Bedroom Flat & Apartment,"Modupe Close, Off Awolowo Way Ikeja, Ikeja , Ikeja","N18,000,000 per year"
4 Bedroom Duplex,"Ikate, Ikate Elegushi, Lekki","N115,000,000 per year"
4 Bedroom Duplex,"Ikate Lekki, Ikate Elegushi, Lekki","N8,000,000 per year"
3 Bedroom Flat & Apartment,"Parkview, Parkview Estate, Ikoyi","N5,000,000 per year"
5 Bedroom Duplex,"Old Ikoyi, Ikoyi","N20,000,000 per year"
3 Bedroom Flat & Apartment,"Lekki Phase 1, Lekki","N5,000,000 per year"
Office,"Off Awolowo Road, Ikoyi Lagos , Awolowo Road, Ikoyi","N7,000,000 per year"
2 Bedroom Flat & Apartment,"Agungi, Lekki","N2,500,000 per year"
4 Bedroom House,"Banana Island, Ikoyi","N15,000,000 per year"
3 Bedroom Terrace,"Lekki Phase 1, Lekki","N4,000,000 per year"
5 Bedroom Duplex,"Lekki Phase 1, Lekki","N8,500,000 per year"
4 Bedroom Duplex,"Lekki Phase 1, Lekki","N6,500,000 per year"
2 Bedroom Flat & Apartment,"Ojota, Ketu","N1,000,000 per year"
4 Bedroom Flat & Apartment,"Osapa London, Osapa, Lekki","N4,500,000 per year"
Commercial Property,"Bush Street, Maryland, Ikeja","N9,000,000 per day"
